Estimators:,1NN-DTW,Arsenal,CIF-500,Catch22,DrCIF-500,Dummy,FreshPRINCE,HC2,MRHydra,QUANT,RDST,RIST,ROCKET,STC,TDE,h-inceptiontime,litetime-mv
SelfRegulationSCP1,0.7747440273037542,0.8532423208191127,0.8668941979522184,0.7713310580204779,0.8839590443686007,0.5017064846416383,0.9146757679180887,0.8737201365187713,0.9488054607508533,0.8122866894197952,0.8907849829351536,0.8498293515358362,0.8532423208191127,0.8327645051194539,0.8327645051194539,0.8191126279863481,0.8054607508532423
SelfRegulationSCP2,0.5388888888888889,0.5444444444444444,0.5111111111111111,0.55,0.55,0.5,0.5611111111111111,0.5555555555555556,0.5333333333333333,0.5111111111111111,0.5222222222222223,0.5277777777777778,0.5277777777777778,0.4888888888888889,0.5388888888888889,0.5055555555555555,0.5111111111111111
SpokenArabicDigits_eq,0.9722601182355616,0.9918144611186903,0.9763528876762164,0.9631650750341064,0.9804456571168713,0.10004547521600728,0.9786266484765803,0.9872669395179627,0.988631195998181,0.9736243747157799,0.9940882219190541,0.9768076398362893,0.9899954524783993,0.9549795361527967,0.9254206457480673,0.992269213278763,0.9927239654388358
StandWalkJump,0.2,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.6666666666666666,0.4,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4,0.3333333333333333,0.4666666666666667
UCDHE-MP,0.5,0.8480662983425414,0.8342541436464088,0.7845303867403315,0.8121546961325967,0.7237569060773481,0.8370165745856354,0.8674033149171271,0.8453038674033149,0.8397790055248618,0.8867403314917127,0.8370165745856354,0.8591160220994475,0.8646408839779005,0.8149171270718232,0.8176795580110497,0.8756906077348067
UCDHE-Rowing,0.6636363636363637,0.8204545454545454,0.8272727272727273,0.8090909090909091,0.85,0.7954545454545454,0.825,0.8227272727272728,0.8318181818181818,0.8340909090909091,0.8477272727272728,0.8045454545454546,0.8159090909090909,0.8113636363636364,0.7818181818181819,0.7909090909090909,0.8113636363636364
UIPRMD-DS-C,0.75,0.8333333333333334,0.9166666666666666,1.0,0.8333333333333334,0.5,0.9166666666666666,1.0,0.9444444444444444,0.8333333333333334,0.6944444444444444,0.8333333333333334,0.8611111111111112,0.9444444444444444,0.8888888888888888,0.6666666666666666,0.8611111111111112
UIPRMD-HS-C,0.7777777777777778,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UIPRMD-IL-C,0.5,0.7222222222222222,0.8888888888888888,0.9444444444444444,0.5,0.5,0.8888888888888888,0.7222222222222222,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.7222222222222222,0.6111111111111112,0.5,0.5
UIPRMD-SASLR-C,1.0,1.0,0.95,0.85,0.7,0.5,1.0,1.0,0.6,0.95,0.95,1.0,1.0,1.0,0.95,0.95,0.9
UIPRMD-SL-C,0.7777777777777778,1.0,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.5,0.7222222222222222,1.0,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444,1.0,1.0,0.7777777777777778,0.5,0.5
UIPRMD-SSA-C,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5,1.0,1.0,1.0,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.9444444444444444,1.0,1.0,1.0
UIPRMD-SSE-C,0.6666666666666666,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.5,1.0,0.9444444444444444,0.8888888888888888,1.0,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.6666666666666666,0.7777777777777778
UIPRMD-SSIER-C,0.65,0.9,0.8,0.75,0.85,0.5,0.7,0.85,0.85,0.8,0.9,0.85,0.9,0.8,0.9,0.45,0.5
UIPRMD-SSS-C,0.8888888888888888,0.9444444444444444,1.0,1.0,1.0,0.5,0.8333333333333334,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444,0.8333333333333334,0.8333333333333334,1.0,1.0
UIPRMD-STS-C,0.8055555555555556,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9444444444444444,0.9166666666666666,0.9444444444444444,1.0,0.9722222222222222,0.9166666666666666,0.6944444444444444,0.6944444444444444
UWaveGestureLibrary,0.903125,0.9375,0.921875,0.871875,0.915625,0.125,0.853125,0.940625,0.93125,0.89375,0.9375,0.928125,0.940625,0.89375,0.91875,0.909375,0.915625
